date,title,author,tags,url
2019-05-28,Zákon o právu na digitální službu prošel ve Sněmovně prvním čtením,Mediální odbor,sněmovna legislativa celostátní digitalizace,https://pirati.cz/tiskove-zpravy/navrh-zakona-pravo-na-digitalni-sluzbu-prvni-cteni.html
2019-06-05,Piráti navrhují opatření proti šmírovaní na internetu,Mediální odbor,celostátní sněmovna legislativa,https://pirati.cz/tiskove-zpravy/internet-smirovani-zpravodajcu-pirati-zamezi.html
2019-06-12,"Piráti ukazují, jak má probíhat vývoj e-governmentu, veřejně otestují svou aplikaci",Mediální odbor,celostátní sněmovna legislativa digitalizace,https://pirati.cz/tiskove-zpravy/e-government-test-u-piratu.html
2019-06-21,Profant: Digitální technická mapa je krok k chytřejší práci s daty. Zefektivní územní plánování i stavební řízení,Mediální odbor,sněmovna celostátní digitalizace,https://pirati.cz/tiskove-zpravy/technicka-digitalni-mapa-zefektivni-uzemni-planovani.html
2019-06-27,"Konec obíhání kanceláří a plýtvání papírem, poslanci si zkusili plně elektronickou práci",Mediální odbor,celostátní sněmovna digitalizace,https://pirati.cz/tiskove-zpravy/elktronicke-dokumenty-podvybor-digitalizace-justice.html
2019-07-22,Profant: Jsme o krok blíže zprovoznění digitální technické mapy,Mediální odbor,celostátní digitalizace vláda legislativa,https://pirati.cz/tiskove-zpravy/digitalizace-technicke-mapy-o-krok-bliz.html
2019-07-29,Česká pošta bude muset zveřejnit audit datových schránek?,Mediální odbor,celostátní kontrola-moci-a-mocných digitalizace,https://pirati.cz/tiskove-zpravy/ceska-posta-yverejni-audit-po-royhodnuti-soudu.html
2019-08-16,Zákon o právu občana na digitální služby se posunul na další metu. Je připraven do druhého čtení ve Sněmovně,Mediální odbor,celostátní legislativa digitalizace,https://pirati.cz/tiskove-zpravy/druhe-cteni-zakon-o-digitalni-sluzbe.html
2019-08-26,Vláda podpořila návrh umožňující komunikaci občanů se státem prostřednictvím bankovní identity,Mediální odbor,celostátní digitalizace vláda legislativa,https://pirati.cz/tiskove-zpravy/navrh-komunikace-se-statem-bankovni-identitou.html
2019-08-27,"Piráti spustili web Otevřená sněmovna, umožní sledování a připomínkování legislativy online",Mediální odbor,celostátní digitalizace legislativa,https://pirati.cz/tiskove-zpravy/otevrena-snemovna-pirati-spustili-legislativni-web.html
2019-08-29,"Ministerstvo vnitra neohlídalo data v téměř sto tisících případech, pokuta mu ale nehrozí",Mediální odbor,celostátní legislativa digitalizace bezpečnost,https://pirati.cz/tiskove-zpravy/mv-bez-pokuty-za-100tisic-neopravnenych-pristupu.html
2019-09-03,Komentář Ondřeje Profanta: Ženy mají mít možnost svobodně si rozhodnout o formě svého příjmení. Piráti proto podají pozměňovací návrh,Mediální odbor,celostátní legislativa,https://pirati.cz/tiskove-zpravy/možnost-žen-rozhodovat-svobodne-o-prijmeni.html
